code,qr_url,status,batch_name,assigned_to
PF-000043,https://farecoh.org/t/793463bb5dfa417d436c48b9b174dbd7e415ce7fcd6dcfbceb6f2d1bad1d491a,available,LOTE GENERAL 001,
PF-000044,https://farecoh.org/t/849369f61278c301e07e32434b4644185b770b11efadc20f1408e51529b7474f,available,LOTE GENERAL 001,
PF-000045,https://farecoh.org/t/6b35a199b017be27b191fc8835140802aa6c09397cc5857a6381170e3e31e781,available,LOTE GENERAL 001,
PF-000046,https://farecoh.org/t/093ba5794fc0d9c00afbc92a22727e0abcab3b052997fd478b94072a0a8a31c0,available,LOTE GENERAL 001,
PF-000047,https://farecoh.org/t/04bbb06ce26c13071742439c21a696423b10168957e5932aa0f484764d3b5e6c,available,LOTE GENERAL 001,
PF-000048,https://farecoh.org/t/c129924a9e52ac4fa64f42b54ae6ad3e2973bf76caa2f19f2c436361710e8546,available,LOTE GENERAL 001,
PF-000049,https://farecoh.org/t/b799016752f3d1156c549c5aacc8219303fb02eeb02c8175fabb54f84bc5f552,available,LOTE GENERAL 001,
PF-000050,https://farecoh.org/t/4d35affdf19ef2957d7e5669fb5d8eb40afb0f904a23aab33adc5dc4e941e5f7,available,LOTE GENERAL 001,
PF-000051,https://farecoh.org/t/08e3a6fa6f7143b9f6b6c47353376828bf17f194c6a83544549df53f5c119794,available,LOTE GENERAL 001,
PF-000052,https://farecoh.org/t/bb17a30169de098e0128aba1875aa4b7e277130dd4f1fb2d5c596c613dcce0e8,available,LOTE GENERAL 001,
PF-000053,https://farecoh.org/t/e8b6996ecc2e8a5d66872a7946728dbc26a7fd116bc9bcb464e4f160a5b64eb2,available,LOTE GENERAL 001,
PF-000054,https://farecoh.org/t/779148867d16de803953f56ee133bc045531c4aa2ed90a73f897ddd2d84c87c7,available,LOTE GENERAL 001,
PF-000055,https://farecoh.org/t/292818cb269545a4112a7ff056f0856f167b832da585e1f26157e15a41531de7,available,LOTE GENERAL 001,
PF-000056,https://farecoh.org/t/3ae2d7dc9b91eecb6139ee345863dc8192bcf55f0feaf3f503e736bb58035d3b,available,LOTE GENERAL 001,
PF-000057,https://farecoh.org/t/f5e0eb51b11a55a21f9bbf374bb0f46a67d110dc18486678adeca09c7bfdb2be,available,LOTE GENERAL 001,
PF-000058,https://farecoh.org/t/b6979e4930e8fc376abab76d240219e0668d3714d888eaa89cb3d165c069dd59,available,LOTE GENERAL 001,
PF-000059,https://farecoh.org/t/891fbbe32007fd97c0c7cbf2a1f40150d1307b09bfcd7dc0b6a7cf3a4053da67,available,LOTE GENERAL 001,
PF-000060,https://farecoh.org/t/796c13ed68f7887140f1976c64b01056cb25aabb4631b1f7feba17064b0e1ff9,available,LOTE GENERAL 001,
PF-000061,https://farecoh.org/t/bb264b4387ffbc9830f210a44745c80bfa2987cbf8f347217ba1404d0dc1ba67,available,LOTE GENERAL 001,
PF-000062,https://farecoh.org/t/33f0be06599517bd731ab64590205555c4a58e2fc7ea20a69115aa5e550caed0,available,LOTE GENERAL 001,
PF-000063,https://farecoh.org/t/904429315e459d784e5c049720d8c4c3a464430f4b6519bf941f2da92977084c,available,LOTE GENERAL 001,
PF-000064,https://farecoh.org/t/b21fd2ea48136d22d8d1d7e49267af8c695adbd756a3c62d7bdffdf34f02839c,available,LOTE GENERAL 001,
PF-000065,https://farecoh.org/t/c3573630ed319408a6fdb1fb159f75360ea4211e6a86f1c123f69c02b719d3e5,available,LOTE GENERAL 001,
PF-000066,https://farecoh.org/t/742dc223b7079d2fab75bc2ed4fa6a6867ba618448017fc26b82581de86f3f80,available,LOTE GENERAL 001,
PF-000067,https://farecoh.org/t/4575b2e4eb90d03583a2a84933adfdcce571fe3c00cff58979c5b56ca2bcd6d6,available,LOTE GENERAL 001,
PF-000068,https://farecoh.org/t/590c1ce033e815cb4d1ddfce61555d49e7377787aa13cdc7ac21b841261736e6,available,LOTE GENERAL 001,
PF-000069,https://farecoh.org/t/d84b3d55b0fe5af4087e8c70aca203b0cab9702409c8fb823b511e58a8777e18,available,LOTE GENERAL 001,
PF-000070,https://farecoh.org/t/edc1f7549334f08f3f316535425dd493147c820b061438d1aa99326e12c7cf9b,available,LOTE GENERAL 001,
PF-000071,https://farecoh.org/t/a27156e999af50850ecfdf378647e284c5653f1eaf6fbfaf91b875b66911d26d,available,LOTE GENERAL 001,
PF-000072,https://farecoh.org/t/8e97357bf1971cf48546c4771a71e268efb76933ced4ef3d0647af244f9de257,available,LOTE GENERAL 001,
PF-000073,https://farecoh.org/t/8476e96ef7541aedcac543a9c4a41b3bad7d2867d592210b30ba896dff18725b,available,LOTE GENERAL 001,
PF-000074,https://farecoh.org/t/ed686dd8bb6e65afa8ceaf940be41a6b2c1d22dd3716175156ceb33d023d4434,available,LOTE GENERAL 001,
PF-000075,https://farecoh.org/t/f15725da13ea6eb98a358cc8ce608a285a4712ebf49f4448a9b0cb1d8c036ff5,available,LOTE GENERAL 001,
PF-000076,https://farecoh.org/t/b7f72fa98f3b65dea017e4f9e68fc531d07ac73839f2563cc30495f512d9439a,available,LOTE GENERAL 001,
PF-000077,https://farecoh.org/t/5c9955c2729004fc90545ac52af8b66330e22dd8521565fbf687577fddba624a,available,LOTE GENERAL 001,
PF-000078,https://farecoh.org/t/219d463bae6fdfc10cad3ea4ae3e30b01a46012f05011fa58e1653f3f67107e4,available,LOTE GENERAL 001,
PF-000079,https://farecoh.org/t/388f8a0179729c0e65647efb53fd588aa89b39820a10876d65526a48209392de,available,LOTE GENERAL 001,
PF-000080,https://farecoh.org/t/62364a47484a45210caab893ca0a64fbf30a23f88cc56947ba251138b56c4ba5,available,LOTE GENERAL 001,
PF-000081,https://farecoh.org/t/3903655bc8c72357b2fc27835589a97b4b7ee62af5a7f34e858f05c975929cc4,available,LOTE GENERAL 001,
PF-000082,https://farecoh.org/t/724ed5c11179a7b9219fba6bc7855677a958e65896c2f50c2107279a9676cdc5,available,LOTE GENERAL 001,
PF-000083,https://farecoh.org/t/4d2273b49b0e14bf7e6a31c8cc1d354bed894c9fcc44db61f74b587c15d48544,available,LOTE GENERAL 001,
